Producto;Fecha;Ingreso;Egreso;Precio Venta;Monto Venta;Stock
Bateria Motorola E13 / E32 / E32S / G13 / G22 / G53  - Gold Edition;2025-10-15;0,00;3,00;13.696,80;41.090,40;27
Bateria Motorola E13 / E32 / E32S / G13 / G22 / G53  - Gold Edition;2025-10-17;50,00;0,00;0,00;0,00;77
Bateria Motorola E13 / E32 / E32S / G13 / G22 / G53  - Gold Edition;2025-10-22;0,00;8,00;15.056,80;120.454,40;69
Bateria Motorola E13 / E32 / E32S / G13 / G22 / G53  - Gold Edition;2025-10-28;0,00;4,00;14.231,20;56.924,80;65
Bateria Motorola E13 / E32 / E32S / G13 / G22 / G53  - Gold Edition;2025-10-29;0,00;2,00;14.231,20;28.462,40;63
Bateria Motorola E13 / E32 / E32S / G13 / G22 / G53  - Gold Edition;2025-10-30;0,00;1,00;14.231,20;14.231,20;62
Bateria Motorola E13 / E32 / E32S / G13 / G22 / G53  - Gold Edition;2025-10-31;0,00;2,00;14.231,20;28.462,40;60
Bateria Motorola  E13 / E32 / E32S / G13 / G22 / G53  - Silver Edition;;;;;;139
Bateria Motorola  E13 / E32 / E32S / G13 / G22 / G53  - Silver Edition;2025-07-03;0,00;10,00;9.701,60;97.016,00;129
Bateria Motorola  E13 / E32 / E32S / G13 / G22 / G53  - Silver Edition;2025-07-07;0,00;1,00;12.274,00;12.274,00;128
Bateria Motorola  E13 / E32 / E32S / G13 / G22 / G53  - Silver Edition;2025-07-07;0,00;10,00;9.622,82;96.228,16;118
Bateria Motorola  E13 / E32 / E32S / G13 / G22 / G53  - Silver Edition;2025-07-11;0,00;10,00;10.133,60;101.336,00;108
Bateria Motorola  E13 / E32 / E32S / G13 / G22 / G53  - Silver Edition;2025-07-21;0,00;1,00;12.864,00;12.864,00;107
Bateria Motorola  E13 / E32 / E32S / G13 / G22 / G53  - Silver Edition;2025-08-01;0,00;2,00;10.369,60;20.739,20;105
Bateria Motorola  E13 / E32 / E32S / G13 / G22 / G53  - Silver Edition;2025-08-08;0,00;5,00;10.604,80;53.024,00;100
Bateria Motorola  E13 / E32 / E32S / G13 / G22 / G53  - Silver Edition;2025-08-13;0,00;2,00;10.604,80;21.209,60;98
Bateria Motorola  E13 / E32 / E32S / G13 / G22 / G53  - Silver Edition;2025-08-18;0,00;1,00;10.604,80;10.604,80;97
Bateria Motorola  E13 / E32 / E32S / G13 / G22 / G53  - Silver Edition;2025-09-19;0,00;2,00;11.548,00;23.096,00;95
Bateria Motorola  E13 / E32 / E32S / G13 / G22 / G53  - Silver Edition;2025-10-20;0,00;3,00;11.045,08;33.135,24;92
Bateria Motorola  E13 / E32 / E32S / G13 / G22 / G53  - Silver Edition;2025-10-28;0,00;3,00;11.508,80;34.526,40;89
Bateria Motorola G60s  - Silver Edition;;;;;;75
Bateria Motorola G60s  - Silver Edition;2025-08-01;0,00;5,00;10.346,40;51.732,00;70
Bateria Motorola G60s  - Silver Edition;2025-09-08;0,00;3,00;10.500,00;31.500,00;67
Bateria Motorola G60s  - Gold Edition;;;;;;95
Bateria Motorola G60s  - Gold Edition;2025-07-01;0,00;1,00;10.894,40;10.894,40;94
Bateria Motorola G60s  - Gold Edition;2025-07-15;0,00;1,00;11.198,60;11.198,60;93
Bateria Motorola G60s  - Gold Edition;2025-07-24;0,00;3,00;11.698,40;35.095,20;90
Bateria Motorola G60s  - Gold Edition;2025-07-31;0,00;2,00;11.788,00;23.576,00;88
Bateria Motorola G60s  - Gold Edition;2025-08-18;0,00;1,00;12.056,00;12.056,00;87
Bateria Motorola G60s  - Gold Edition;2025-08-20;0,00;5,00;11.302,50;56.512,50;82
Bateria Motorola G60s  - Gold Edition;2025-08-21;0,00;2,00;12.056,00;24.112,00;80
Bateria Motorola G60s  - Gold Edition;2025-08-26;0,00;1,00;12.144,80;12.144,80;79
Bateria Motorola G60s  - Gold Edition;2025-09-05;0,00;5,00;12.234,40;61.172,00;74
Bateria Motorola G60s  - Gold Edition;2025-09-11;0,00;2,00;12.680,80;25.361,60;72
Bateria Motorola G60s  - Gold Edition;2025-09-16;0,00;2,00;12.173,68;24.347,36;70
Bateria Motorola G60s  - Gold Edition;2025-10-01;0,00;2,00;12.502,40;25.004,80;68
Bateria Motorola G60s  - Gold Edition;2025-10-31;0,00;1,00;13.082,40;13.082,40;67
Bateria Redmi Note 6 / 7 / Note 8 2019 / Note 8 2021 / Note 8T  - Silver Edition;;;;;;88
Bateria Redmi Note 6 / 7 / Note 8 2019 / Note 8 2021 / Note 8T  - Silver Edition;2025-07-02;0,00;1,00;8.450,40;8.450,40;87
Bateria Redmi Note 6 / 7 / Note 8 2019 / Note 8 2021 / Note 8T  - Silver Edition;2025-07-07;0,00;2,00;8.484,45;16.968,90;85
Bateria Redmi Note 6 / 7 / Note 8 2019 / Note 8 2021 / Note 8T  - Silver Edition;2025-07-08;0,00;4,00;8.796,80;35.187,20;81
Bateria Redmi Note 6 / 7 / Note 8 2019 / Note 8 2021 / Note 8T  - Silver Edition;2025-07-16;0,00;2,00;9.281,60;18.563,20;79
Bateria Redmi Note 6 / 7 / Note 8 2019 / Note 8 2021 / Note 8T  - Silver Edition;2025-07-18;0,00;2,00;9.073,60;18.147,20;77
Bateria Redmi Note 6 / 7 / Note 8 2019 / Note 8 2021 / Note 8T  - Silver Edition;2025-07-18;0,00;3,00;9.073,60;27.220,80;74
Bateria Redmi Note 6 / 7 / Note 8 2019 / Note 8 2021 / Note 8T  - Silver Edition;2025-07-22;0,00;2,00;9.212,00;18.424,00;72
Bateria Redmi Note 6 / 7 / Note 8 2019 / Note 8 2021 / Note 8T  - Silver Edition;2025-08-11;0,00;1,00;9.350,40;9.350,40;71
Bateria Redmi Note 6 / 7 / Note 8 2019 / Note 8 2021 / Note 8T  - Silver Edition;2025-08-18;0,00;1,00;9.350,40;9.350,40;70
Bateria Redmi Note 6 / 7 / Note 8 2019 / Note 8 2021 / Note 8T  - Silver Edition;2025-08-18;0,00;1,00;9.350,40;9.350,40;69
Bateria Redmi Note 6 / 7 / Note 8 2019 / Note 8 2021 / Note 8T  - Silver Edition;2025-08-19;0,00;3,00;8.882,88;26.648,64;66
Bateria Redmi Note 6 / 7 / Note 8 2019 / Note 8 2021 / Note 8T  - Silver Edition;2025-08-20;0,00;3,00;8.766,00;26.298,00;63
Bateria Redmi Note 6 / 7 / Note 8 2019 / Note 8 2021 / Note 8T  - Silver Edition;2025-08-20;0,00;-1,00;-9.350,40;9.350,40;64
Bateria Redmi Note 6 / 7 / Note 8 2019 / Note 8 2021 / Note 8T  - Silver Edition;2025-08-20;0,00;1,00;9.350,40;9.350,40;63
Bateria Redmi Note 6 / 7 / Note 8 2019 / Note 8 2021 / Note 8T  - Silver Edition;2025-08-20;0,00;1,00;9.350,40;9.350,40;62
Bateria Redmi Note 6 / 7 / Note 8 2019 / Note 8 2021 / Note 8T  - Silver Edition;2025-08-26;0,00;3,00;9.420,00;28.260,00;59
Bateria Redmi Note 6 / 7 / Note 8 2019 / Note 8 2021 / Note 8T  - Silver Edition;2025-09-01;0,00;15,00;9.420,00;141.300,00;44
Bateria Redmi Note 6 / 7 / Note 8 2019 / Note 8 2021 / Note 8T  - Silver Edition;2025-09-30;0,00;3,00;9.696,80;29.090,40;41
Bateria Redmi Note 6 / 7 / Note 8 2019 / Note 8 2021 / Note 8T  - Silver Edition;2025-09-30;0,00;2,00;9.835,20;19.670,40;39
Bateria Redmi Note 6 / 7 / Note 8 2019 / Note 8 2021 / Note 8T  - Silver Edition;2025-10-01;0,00;3,00;9.835,20;29.505,60;36
Bateria Redmi Note 6 / 7 / Note 8 2019 / Note 8 2021 / Note 8T  - Silver Edition;2025-10-20;0,00;3,00;9.738,64;29.215,92;33
Bateria Redmi Note 6 / 7 / Note 8 2019 / Note 8 2021 / Note 8T  - Silver Edition;2025-10-22;0,00;8,00;10.736,00;85.888,00;25
